#options: 1280x720 fps=2997/100 timebase=100/2997 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=5 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=8 b_pyramid=2 b_adapt=2 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=60 rc=crf mbtree=1 crf=22.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:28.03 aq:23.83 tex:578696 mv:149185 misc:191 imb:3600 pmb:0 smb:0 d:- ref:;
in:32 out:33 type:b dur:2 cpbdur:2 q:28.03 aq:30.96 tex:153333 mv:18007 misc:2428 imb:12 pmb:2636 smb:952 d:- ref:0 ;
in:33 out:34 type:b dur:2 cpbdur:2 q:28.03 aq:30.56 tex:71286 mv:14718 misc:3220 imb:17 pmb:2140 smb:1443 d:- ref:0 ;
in:40 out:35 type:P dur:2 cpbdur:2 q:28.03 aq:25.43 tex:1015957 mv:26693 misc:446 imb:491 pmb:3097 smb:12 d:s ref:0 ;
in:37 out:36 type:B dur:2 cpbdur:2 q:28.03 aq:27.81 tex:275298 mv:28665 misc:1829 imb:91 pmb:3069 smb:440 d:s ref:0 ;
in:35 out:37 type:b dur:2 cpbdur:2 q:28.03 aq:30.99 tex:100949 mv:15854 misc:3045 imb:22 pmb:2234 smb:1344 d:s ref:0 ;
in:36 out:38 type:b dur:2 cpbdur:2 q:28.03 aq:30.99 tex:143112 mv:20072 misc:2728 imb:23 pmb:2540 smb:1037 d:s ref:0 ;
in:38 out:39 type:b dur:2 cpbdur:2 q:28.03 aq:31.11 tex:179814 mv:15059 misc:2703 imb:30 pmb:2519 smb:1051 d:- ref:0 ;
in:39 out:40 type:b dur:2 cpbdur:2 q:28.03 aq:30.79 tex:112954 mv:16789 misc:3065 imb:36 pmb:2335 smb:1229 d:- ref:0 ;
in:42 out:41 type:P dur:2 cpbdur:2 q:28.03 aq:25.51 tex:539791 mv:15730 misc:943 imb:152 pmb:3224 smb:224 d:s ref:0 ;
in:41 out:42 type:b dur:2 cpbdur:2 q:28.03 aq:31.63 tex:65542 mv:13008 misc:3250 imb:15 pmb:1661 smb:1924 d:s ref:0 ;
in:45 out:43 type:P dur:2 cpbdur:2 q:28.03 aq:24.99 tex:718920 mv:20277 misc:739 imb:282 pmb:3197 smb:121 d:s ref:0 ;
in:43 out:44 type:B dur:2 cpbdur:2 q:28.03 aq:29.87 tex:151339 mv:16876 misc:2793 imb:29 pmb:2385 smb:1186 d:s ref:0 ;
in:44 out:45 type:b dur:2 cpbdur:2 q:28.03 aq:31.23 tex:124819 mv:14673 misc:2836 imb:35 pmb:2103 smb:1462 d:- ref:0 ;
in:49 out:46 type:P dur:2 cpbdur:2 q:28.03 aq:25.42 tex:635776 mv:20403 misc:861 imb:313 pmb:3125 smb:162 d:s ref:0 ;
in:47 out:47 type:B dur:2 cpbdur:2 q:28.03 aq:28.67 tex:177059 mv:19302 misc:2775 imb:43 pmb:2587 smb:970 d:s ref:0 ;
in:46 out:48 type:b dur:2 cpbdur:2 q:28.03 aq:31.17 tex:42462 mv:12110 misc:3164 imb:14 pmb:1272 smb:2314 d:s ref:0 ;
in:48 out:49 type:b dur:2 cpbdur:2 q:28.03 aq:31.12 tex:64021 mv:12703 misc:3316 imb:16 pmb:1634 smb:1950 d:- ref:0 ;
in:53 out:50 type:P dur:2 cpbdur:2 q:28.03 aq:25.75 tex:792855 mv:21308 misc:685 imb:414 pmb:3117 smb:69 d:s ref:0 w:0,1,-1 ;
in:51 out:51 type:B dur:2 cpbdur:2 q:28.03 aq:29.40 tex:128034 mv:18301 misc:3033 imb:63 pmb:2063 smb:1474 d:s ref:0 ;
in:50 out:52 type:b dur:2 cpbdur:2 q:28.03 aq:31.29 tex:64192 mv:13288 misc:3032 imb:36 pmb:1447 smb:2117 d:s ref:0 ;
in:52 out:53 type:b dur:2 cpbdur:2 q:28.03 aq:31.31 tex:91641 mv:16590 misc:3353 imb:29 pmb:1849 smb:1722 d:- ref:0 ;
in:56 out:54 type:P dur:2 cpbdur:2 q:28.03 aq:25.81 tex:861759 mv:21818 misc:615 imb:452 pmb:3058 smb:90 d:s ref:0 ;
in:54 out:55 type:B dur:2 cpbdur:2 q:28.03 aq:30.32 tex:154996 mv:19292 misc:2872 imb:63 pmb:2065 smb:1472 d:s ref:0 ;
in:55 out:56 type:b dur:2 cpbdur:2 q:28.03 aq:30.97 tex:124516 mv:17420 misc:2840 imb:40 pmb:1911 smb:1649 d:- ref:0 ;
in:60 out:57 type:P dur:2 cpbdur:2 q:28.03 aq:25.59 tex:1185038 mv:23396 misc:574 imb:604 pmb:2937 smb:59 d:s ref:0 w:6,63,0,5,31,4,32,0 ;
in:58 out:58 type:B dur:2 cpbdur:2 q:28.03 aq:29.31 tex:301490 mv:24234 misc:2316 imb:135 pmb:2717 smb:748 d:s ref:0 ;
in:57 out:59 type:b dur:2 cpbdur:2 q:28.03 aq:31.02 tex:110898 mv:16325 misc:3169 imb:45 pmb:1769 smb:1786 d:s ref:0 ;
in:59 out:60 type:b dur:2 cpbdur:2 q:28.03 aq:31.05 tex:141102 mv:16114 misc:3112 imb:45 pmb:1957 smb:1598 d:- ref:0 ;
in:64 out:61 type:P dur:2 cpbdur:2 q:28.03 aq:25.43 tex:997326 mv:22216 misc:594 imb:632 pmb:2920 smb:48 d:s ref:0 ;
in:62 out:62 type:B dur:2 cpbdur:2 q:28.03 aq:29.22 tex:274887 mv:24961 misc:2344 imb:120 pmb:2748 smb:732 d:s ref:0 ;
in:61 out:63 type:b dur:2 cpbdur:2 q:28.03 aq:31.03 tex:118306 mv:16929 misc:3181 imb:43 pmb:1891 smb:1666 d:s ref:0 ;
in:63 out:64 type:b dur:2 cpbdur:2 q:28.03 aq:31.32 tex:115071 mv:15233 misc:3096 imb:45 pmb:1704 smb:1851 d:- ref:0 ;
in:68 out:65 type:P dur:2 cpbdur:2 q:28.03 aq:25.47 tex:961476 mv:21021 misc:751 imb:635 pmb:2867 smb:98 d:s ref:0 ;
in:66 out:66 type:B dur:2 cpbdur:2 q:28.03 aq:29.61 tex:229924 mv:21716 misc:2632 imb:88 pmb:2480 smb:1032 d:s ref:0 ;
in:65 out:67 type:b dur:2 cpbdur:2 q:28.03 aq:31.35 tex:112205 mv:16009 misc:3146 imb:44 pmb:1803 smb:1753 d:s ref:0 ;
in:67 out:68 type:b dur:2 cpbdur:2 q:28.03 aq:31.07 tex:123176 mv:15088 misc:3176 imb:39 pmb:1884 smb:1677 d:- ref:0 ;
in:72 out:69 type:P dur:2 cpbdur:2 q:28.03 aq:25.61 tex:955474 mv:20576 misc:862 imb:582 pmb:2891 smb:127 d:s ref:0 ;
in:70 out:70 type:B dur:2 cpbdur:2 q:28.03 aq:29.17 tex:249947 mv:22655 misc:2542 imb:97 pmb:2629 smb:874 d:s ref:0 ;
in:69 out:71 type:b dur:2 cpbdur:2 q:28.03 aq:31.16 tex:119410 mv:13429 misc:3249 imb:31 pmb:1832 smb:1737 d:s ref:0 ;
in:71 out:72 type:b dur:2 cpbdur:2 q:28.03 aq:31.38 tex:98419 mv:14473 misc:3180 imb:30 pmb:1654 smb:1916 d:- ref:0 ;
in:77 out:73 type:P dur:2 cpbdur:2 q:28.03 aq:25.66 tex:1001038 mv:20607 misc:539 imb:793 pmb:2766 smb:41 d:s ref:0 ;
in:74 out:74 type:B dur:2 cpbdur:2 q:28.03 aq:28.71 tex:336800 mv:21677 misc:2099 imb:118 pmb:2909 smb:573 d:s ref:0 ;
in:73 out:75 type:b dur:2 cpbdur:2 q:28.03 aq:31.02 tex:116093 mv:14900 misc:3271 imb:44 pmb:1882 smb:1674 d:s ref:0 ;
in:75 out:76 type:b dur:2 cpbdur:2 q:28.03 aq:31.26 tex:127206 mv:15902 misc:3308 imb:53 pmb:1973 smb:1574 d:- ref:0 ;
in:76 out:77 type:b dur:2 cpbdur:2 q:28.03 aq:31.30 tex:123500 mv:13855 misc:3125 imb:39 pmb:1770 smb:1791 d:- ref:0 ;
in:81 out:78 type:P dur:2 cpbdur:2 q:28.03 aq:25.91 tex:805016 mv:20178 misc:678 imb:757 pmb:2774 smb:69 d:s ref:0 ;
in:79 out:79 type:B dur:2 cpbdur:2 q:28.03 aq:29.35 tex:226993 mv:20517 misc:2842 imb:100 pmb:2571 smb:929 d:s ref:0 ;
in:78 out:80 type:b dur:2 cpbdur:2 q:28.03 aq:31.12 tex:107160 mv:13778 misc:3286 imb:29 pmb:1712 smb:1859 d:s ref:0 ;
in:80 out:81 type:b dur:2 cpbdur:2 q:28.03 aq:31.20 tex:88457 mv:13973 misc:3242 imb:26 pmb:1507 smb:2067 d:- ref:0 ;
in:86 out:82 type:P dur:2 cpbdur:2 q:28.03 aq:26.07 tex:886735 mv:24457 misc:552 imb:863 pmb:2698 smb:39 d:s ref:0 ;
in:83 out:83 type:B dur:2 cpbdur:2 q:28.03 aq:28.36 tex:286463 mv:23372 misc:2357 imb:224 pmb:2689 smb:687 d:s ref:0 ;
in:82 out:84 type:b dur:2 cpbdur:2 q:28.03 aq:31.17 tex:125859 mv:15131 misc:3122 imb:50 pmb:1939 smb:1611 d:s ref:0 ;
in:84 out:85 type:b dur:2 cpbdur:2 q:28.03 aq:31.14 tex:146772 mv:17457 misc:2971 imb:103 pmb:2025 smb:1472 d:- ref:0 ;
in:85 out:86 type:b dur:2 cpbdur:2 q:28.03 aq:31.14 tex:141153 mv:18602 misc:3037 imb:123 pmb:1957 smb:1520 d:- ref:0 ;
in:90 out:87 type:P dur:2 cpbdur:2 q:28.03 aq:25.97 tex:847884 mv:25121 misc:579 imb:941 pmb:2607 smb:52 d:s ref:0 ;
in:88 out:88 type:B dur:2 cpbdur:2 q:28.03 aq:28.66 tex:322090 mv:24689 misc:2157 imb:250 pmb:2752 smb:598 d:s ref:0 ;
in:87 out:89 type:b dur:2 cpbdur:2 q:28.03 aq:30.98 tex:156747 mv:15551 misc:3086 imb:105 pmb:1940 smb:1555 d:s ref:0 ;
in:89 out:90 type:b dur:2 cpbdur:2 q:28.03 aq:30.70 tex:136179 mv:18280 misc:3141 imb:135 pmb:1860 smb:1605 d:- ref:0 ;
in:95 out:91 type:P dur:2 cpbdur:2 q:28.03 aq:26.42 tex:787243 mv:27154 misc:683 imb:1083 pmb:2436 smb:81 d:s ref:0 ;
in:92 out:92 type:B dur:2 cpbdur:2 q:28.03 aq:28.04 tex:323913 mv:28844 misc:2139 imb:350 pmb:2597 smb:653 d:s ref:0 ;
in:91 out:93 type:b dur:2 cpbdur:2 q:28.03 aq:30.60 tex:107228 mv:17817 misc:3067 imb:136 pmb:1659 smb:1805 d:s ref:0 ;
in:93 out:94 type:b dur:2 cpbdur:2 q:28.03 aq:30.39 tex:140478 mv:20592 misc:2962 imb:154 pmb:1926 smb:1520 d:- ref:0 ;
in:94 out:95 type:b dur:2 cpbdur:2 q:28.03 aq:30.65 tex:148442 mv:23193 misc:2997 imb:136 pmb:2091 smb:1373 d:- ref:0 ;
in:99 out:96 type:P dur:2 cpbdur:2 q:28.03 aq:27.28 tex:640245 mv:25206 misc:973 imb:1118 pmb:2291 smb:191 d:s ref:0 w:5,33,0 ;
in:97 out:97 type:B dur:2 cpbdur:2 q:28.03 aq:28.77 tex:318489 mv:28745 misc:2022 imb:231 pmb:2767 smb:602 d:s ref:0 ;
in:96 out:98 type:b dur:2 cpbdur:2 q:28.03 aq:30.49 tex:145545 mv:21536 misc:2951 imb:120 pmb:2046 smb:1434 d:s ref:0 ;
in:98 out:99 type:b dur:2 cpbdur:2 q:28.03 aq:30.48 tex:164909 mv:21305 misc:2882 imb:95 pmb:2164 smb:1341 d:- ref:0 ;
in:104 out:100 type:P dur:2 cpbdur:2 q:28.03 aq:27.02 tex:779401 mv:31722 misc:701 imb:2539 pmb:942 smb:119 d:s ref:0 ;
in:101 out:101 type:B dur:2 cpbdur:2 q:28.03 aq:27.91 tex:451076 mv:30399 misc:1621 imb:301 pmb:2920 smb:379 d:s ref:0 ;
in:100 out:102 type:b dur:2 cpbdur:2 q:28.03 aq:30.44 tex:144529 mv:21658 misc:2949 imb:91 pmb:2181 smb:1328 d:s ref:0 ;
in:102 out:103 type:b dur:2 cpbdur:2 q:28.03 aq:30.36 tex:249485 mv:23527 misc:2396 imb:144 pmb:2547 smb:909 d:- ref:0 ;
in:103 out:104 type:b dur:2 cpbdur:2 q:28.03 aq:29.58 tex:186942 mv:25742 misc:2508 imb:217 pmb:2389 smb:994 d:- ref:0 ;
in:105 out:105 type:P dur:2 cpbdur:2 q:28.03 aq:26.71 tex:384216 mv:25920 misc:1184 imb:587 pmb:2788 smb:225 d:s ref:0 ;
in:107 out:106 type:P dur:2 cpbdur:2 q:28.03 aq:27.04 tex:550425 mv:31146 misc:925 imb:844 pmb:2627 smb:129 d:s ref:0 ;
in:106 out:107 type:b dur:2 cpbdur:2 q:28.03 aq:29.36 tex:223214 mv:32597 misc:2213 imb:176 pmb:2787 smb:637 d:s ref:0 ;
